State/Territory,Sector,Sex,School Level,Function,Staff
New South Wales,Government,Female,Secondary schools,Specialist support staff,509.3
New South Wales,Government,Female,Secondary schools,Teaching staff,13948.4
New South Wales,Government,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),339
New South Wales,Government,Male,Primary schools,"Building operations, general maintenance and other staff",824.5
New South Wales,Government,Male,Primary schools,Non-teaching staff,1288
New South Wales,Government,Male,Primary schools,Specialist support staff,124.5
New South Wales,Government,Male,Primary schools,Teaching staff,4802.4
New South Wales,Government,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),309
New South Wales,Government,Male,Secondary schools,"Building operations, general maintenance and other staff",548.2
New South Wales,Government,Male,Secondary schools,Non-teaching staff,1041
New South Wales,Government,Male,Secondary schools,Specialist support staff,183.8
New South Wales,Government,Male,Secondary schools,Teaching staff,10636.8
New South Wales,Independent,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),1160.3
New South Wales,Independent,Female,Primary schools,"Building operations, general maintenance and other staff",84.9
New South Wales,Independent,Female,Primary schools,Non-teaching staff,1434.2
New South Wales,Independent,Female,Primary schools,Specialist support staff,189
New South Wales,Independent,Female,Primary schools,Teaching staff,3441.3
New South Wales,Independent,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),1419.5
New South Wales,Independent,Female,Secondary schools,"Building operations, general maintenance and other staff",134.3
New South Wales,Independent,Female,Secondary schools,Non-teaching staff,1784.4
New South Wales,Independent,Female,Secondary schools,Specialist support staff,230.6
New South Wales,Independent,Female,Secondary schools,Teaching staff,3885.3
New South Wales,Independent,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),261.1
New South Wales,Independent,Male,Primary schools,"Building operations, general maintenance and other staff",239
New South Wales,Independent,Male,Primary schools,Non-teaching staff,555.1
New South Wales,Independent,Male,Primary schools,Specialist support staff,55
New South Wales,Independent,Male,Primary schools,Teaching staff,984
New South Wales,Independent,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),453.3
New South Wales,Independent,Male,Secondary schools,"Building operations, general maintenance and other staff",401.4
New South Wales,Independent,Male,Secondary schools,Non-teaching staff,1067.9
New South Wales,Independent,Male,Secondary schools,Specialist support staff,213.2
New South Wales,Independent,Male,Secondary schools,Teaching staff,3182.1
Northern Territory,Catholic,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),97.7
Northern Territory,Catholic,Female,Primary schools,"Building operations, general maintenance and other staff",16
Northern Territory,Catholic,Female,Primary schools,Non-teaching staff,127.9
Northern Territory,Catholic,Female,Primary schools,Specialist support staff,14.2
Northern Territory,Catholic,Female,Primary schools,Teaching staff,159.5
Northern Territory,Catholic,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),37.7
Northern Territory,Catholic,Female,Secondary schools,"Building operations, general maintenance and other staff",7.4
Northern Territory,Catholic,Female,Secondary schools,Non-teaching staff,59.4
Northern Territory,Catholic,Female,Secondary schools,Specialist support staff,14.3
Northern Territory,Catholic,Female,Secondary schools,Teaching staff,93.5
Northern Territory,Catholic,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),9.2
Northern Territory,Catholic,Male,Primary schools,"Building operations, general maintenance and other staff",15.6
Northern Territory,Catholic,Male,Primary schools,Non-teaching staff,27.1
Northern Territory,Catholic,Male,Primary schools,Specialist support staff,2.3
Northern Territory,Catholic,Male,Primary schools,Teaching staff,27.2
Northern Territory,Catholic,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),13.9
Northern Territory,Catholic,Male,Secondary schools,"Building operations, general maintenance and other staff",14.6
Northern Territory,Catholic,Male,Secondary schools,Non-teaching staff,36.3
Northern Territory,Catholic,Male,Secondary schools,Specialist support staff,7.8
Northern Territory,Catholic,Male,Secondary schools,Teaching staff,77
Northern Territory,Government,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),318.6
Northern Territory,Government,Female,Primary schools,"Building operations, general maintenance and other staff",14.1
Northern Territory,Government,Female,Primary schools,Non-teaching staff,600.4
Northern Territory,Government,Female,Primary schools,Specialist support staff,267.7
Northern Territory,Government,Female,Primary schools,Teaching staff,1235
Northern Territory,Government,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),205.3
Northern Territory,Government,Female,Secondary schools,"Building operations, general maintenance and other staff",6.7
Northern Territory,Government,Female,Secondary schools,Non-teaching staff,348.8
Northern Territory,Government,Female,Secondary schools,Specialist support staff,136.8
Northern Territory,Government,Female,Secondary schools,Teaching staff,603.5
Northern Territory,Government,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),28.4
Northern Territory,Government,Male,Primary schools,"Building operations, general maintenance and other staff",77
Northern Territory,Government,Male,Primary schools,Non-teaching staff,164.8
Northern Territory,Government,Male,Primary schools,Specialist support staff,59.4
Northern Territory,Government,Male,Primary schools,Teaching staff,261.9
Northern Territory,Government,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),41.8
Northern Territory,Government,Male,Secondary schools,"Building operations, general maintenance and other staff",47.4
Northern Territory,Government,Male,Secondary schools,Non-teaching staff,135.1
Northern Territory,Government,Male,Secondary schools,Specialist support staff,45.9
Northern Territory,Government,Male,Secondary schools,Teaching staff,384.3
Northern Territory,Independent,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),47.2
Northern Territory,Independent,Female,Primary schools,"Building operations, general maintenance and other staff",3.1
Northern Territory,Independent,Female,Primary schools,Non-teaching staff,57.2
Northern Territory,Independent,Female,Primary schools,Specialist support staff,6.9
Northern Territory,Independent,Female,Primary schools,Teaching staff,113.5
Northern Territory,Independent,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),122.9
Northern Territory,Independent,Female,Secondary schools,"Building operations, general maintenance and other staff",9.6
Northern Territory,Independent,Female,Secondary schools,Non-teaching staff,143.4
Northern Territory,Independent,Female,Secondary schools,Specialist support staff,10.9
Northern Territory,Independent,Female,Secondary schools,Teaching staff,187.1
Northern Territory,Independent,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),6.1
Northern Territory,Independent,Male,Primary schools,"Building operations, general maintenance and other staff",13
Northern Territory,Independent,Male,Primary schools,Non-teaching staff,21.5
Northern Territory,Independent,Male,Primary schools,Specialist support staff,2.4
Northern Territory,Independent,Male,Primary schools,Teaching staff,25.5
Northern Territory,Independent,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),30.8
Northern Territory,Independent,Male,Secondary schools,"Building operations, general maintenance and other staff",26.3
Northern Territory,Independent,Male,Secondary schools,Non-teaching staff,63.3
Northern Territory,Independent,Male,Secondary schools,Specialist support staff,6.2
Northern Territory,Independent,Male,Secondary schools,Teaching staff,116.1
Queensland,Catholic,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),1360.5
Queensland,Catholic,Female,Primary schools,"Building operations, general maintenance and other staff",57.9
Queensland,Catholic,Female,Primary schools,Non-teaching staff,1456.2
Queensland,Catholic,Female,Primary schools,Specialist support staff,37.8
Queensland,Catholic,Female,Primary schools,Teaching staff,3305.7
Queensland,Catholic,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),1126.9
Queensland,Catholic,Female,Secondary schools,"Building operations, general maintenance and other staff",100.7
Queensland,Catholic,Female,Secondary schools,Non-teaching staff,1339.4
Queensland,Catholic,Female,Secondary schools,Specialist support staff,111.8
Queensland,Catholic,Female,Secondary schools,Teaching staff,2383.6
Queensland,Catholic,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),67.6
Queensland,Catholic,Male,Primary schools,"Building operations, general maintenance and other staff",127.5
Queensland,Catholic,Male,Primary schools,Non-teaching staff,210.7
Queensland,Catholic,Male,Primary schools,Specialist support staff,15.6
Queensland,Catholic,Male,Primary schools,Teaching staff,815.4
Queensland,Catholic,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),287.6
Queensland,Catholic,Male,Secondary schools,"Building operations, general maintenance and other staff",266.5
Queensland,Catholic,Male,Secondary schools,Non-teaching staff,629.5
Queensland,Catholic,Male,Secondary schools,Specialist support staff,75.4
Queensland,Catholic,Male,Secondary schools,Teaching staff,1775.8
Queensland,Government,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),6192.7
Queensland,Government,Female,Primary schools,"Building operations, general maintenance and other staff",43.1
Queensland,Government,Female,Primary schools,Non-teaching staff,6963.4
Queensland,Government,Female,Primary schools,Specialist support staff,727.6
Queensland,Government,Female,Primary schools,Teaching staff,16261.2
Queensland,Government,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),2977.4
Queensland,Government,Female,Secondary schools,"Building operations, general maintenance and other staff",28.7
Queensland,Government,Female,Secondary schools,Non-teaching staff,3519.8
Queensland,Government,Female,Secondary schools,Specialist support staff,513.7
Queensland,Government,Female,Secondary schools,Teaching staff,8296
Queensland,Government,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),238.9
Queensland,Government,Male,Primary schools,"Building operations, general maintenance and other staff",784.1
Queensland,Government,Male,Primary schools,Non-teaching staff,1201
Queensland,Government,Male,Primary schools,Specialist support staff,178
Queensland,Government,Male,Primary schools,Teaching staff,3964.7
Queensland,Government,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),342.7
Queensland,Government,Male,Secondary schools,"Building operations, general maintenance and other staff",542.2
Queensland,Government,Male,Secondary schools,Non-teaching staff,1070.8
Queensland,Government,Male,Secondary schools,Specialist support staff,185.9
Queensland,Government,Male,Secondary schools,Teaching staff,5498.4
Queensland,Independent,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),1329.9
Queensland,Independent,Female,Primary schools,"Building operations, general maintenance and other staff",87.9
Queensland,Independent,Female,Primary schools,Non-teaching staff,1536.8
Queensland,Independent,Female,Primary schools,Specialist support staff,119
Queensland,Independent,Female,Primary schools,Teaching staff,2380
Queensland,Independent,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),1331.1
Queensland,Independent,Female,Secondary schools,"Building operations, general maintenance and other staff",104.2
Queensland,Independent,Female,Secondary schools,Non-teaching staff,1569.1
Queensland,Independent,Female,Secondary schools,Specialist support staff,133.8
Queensland,Independent,Female,Secondary schools,Teaching staff,2439
Queensland,Independent,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),202.1
Queensland,Independent,Male,Primary schools,"Building operations, general maintenance and other staff",272.1
Queensland,Independent,Male,Primary schools,Non-teaching staff,521.7
Queensland,Independent,Male,Primary schools,Specialist support staff,47.5
Queensland,Independent,Male,Primary schools,Teaching staff,739.9
Queensland,Independent,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),359.5
Queensland,Independent,Male,Secondary schools,"Building operations, general maintenance and other staff",345.9
Queensland,Independent,Male,Secondary schools,Non-teaching staff,836.3
Queensland,Independent,Male,Secondary schools,Specialist support staff,130.9
Queensland,Independent,Male,Secondary schools,Teaching staff,2024.4
South Australia,Catholic,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),374.5
South Australia,Catholic,Female,Primary schools,"Building operations, general maintenance and other staff",34.5
South Australia,Catholic,Female,Primary schools,Non-teaching staff,485.7
South Australia,Catholic,Female,Primary schools,Specialist support staff,76.7
South Australia,Catholic,Female,Primary schools,Teaching staff,1277.4
South Australia,Catholic,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),330.7
South Australia,Catholic,Female,Secondary schools,"Building operations, general maintenance and other staff",25.2
South Australia,Catholic,Female,Secondary schools,Non-teaching staff,407.7
South Australia,Catholic,Female,Secondary schools,Specialist support staff,51.8
South Australia,Catholic,Female,Secondary schools,Teaching staff,870.8
South Australia,Catholic,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),37
South Australia,Catholic,Male,Primary schools,"Building operations, general maintenance and other staff",55.4
South Australia,Catholic,Male,Primary schools,Non-teaching staff,99.9
South Australia,Catholic,Male,Primary schools,Specialist support staff,7.5
South Australia,Catholic,Male,Primary schools,Teaching staff,369.5
South Australia,Catholic,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),87.6
South Australia,Catholic,Male,Secondary schools,"Building operations, general maintenance and other staff",89.8
South Australia,Catholic,Male,Secondary schools,Non-teaching staff,186.9
South Australia,Catholic,Male,Secondary schools,Specialist support staff,9.5
South Australia,Catholic,Male,Secondary schools,Teaching staff,706.7
South Australia,Government,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),2283.1
South Australia,Government,Female,Primary schools,"Building operations, general maintenance and other staff",6.8
South Australia,Government,Female,Primary schools,Non-teaching staff,2558.9
South Australia,Government,Female,Primary schools,Specialist support staff,269
South Australia,Government,Female,Primary schools,Teaching staff,5237.9
South Australia,Government,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),1061.4
South Australia,Government,Female,Secondary schools,"Building operations, general maintenance and other staff",7.4
South Australia,Government,Female,Secondary schools,Non-teaching staff,1280.5
South Australia,Government,Female,Secondary schools,Specialist support staff,211.7
South Australia,Government,Female,Secondary schools,Teaching staff,2589.4
South Australia,Government,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),218.7
South Australia,Government,Male,Primary schools,"Building operations, general maintenance and other staff",154.9
South Australia,Government,Male,Primary schools,Non-teaching staff,424.3
South Australia,Government,Male,Primary schools,Specialist support staff,50.7
South Australia,Government,Male,Primary schools,Teaching staff,1515.7
South Australia,Government,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),256.4
South Australia,Government,Male,Secondary schools,"Building operations, general maintenance and other staff",141.7
South Australia,Government,Male,Secondary schools,Non-teaching staff,521.1
South Australia,Government,Male,Secondary schools,Specialist support staff,123
South Australia,Government,Male,Secondary schools,Teaching staff,2173.4
South Australia,Independent,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),376.7
South Australia,Independent,Female,Primary schools,"Building operations, general maintenance and other staff",30.3
South Australia,Independent,Female,Primary schools,Non-teaching staff,435.4
South Australia,Independent,Female,Primary schools,Specialist support staff,28.4
South Australia,Independent,Female,Primary schools,Teaching staff,1144.4
South Australia,Independent,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),410.4
South Australia,Independent,Female,Secondary schools,"Building operations, general maintenance and other staff",48.4
South Australia,Independent,Female,Secondary schools,Non-teaching staff,497.2
South Australia,Independent,Female,Secondary schools,Specialist support staff,38.4
South Australia,Independent,Female,Secondary schools,Teaching staff,916.9
South Australia,Independent,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),66.7
South Australia,Independent,Male,Primary schools,"Building operations, general maintenance and other staff",91.4
South Australia,Independent,Male,Primary schools,Non-teaching staff,165.1
South Australia,Independent,Male,Primary schools,Specialist support staff,7
South Australia,Independent,Male,Primary schools,Teaching staff,388
South Australia,Independent,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),134.3
South Australia,Independent,Male,Secondary schools,"Building operations, general maintenance and other staff",131.1
South Australia,Independent,Male,Secondary schools,Non-teaching staff,285
South Australia,Independent,Male,Secondary schools,Specialist support staff,19.6
South Australia,Independent,Male,Secondary schools,Teaching staff,843.2
Tasmania,Catholic,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),121.5
Tasmania,Catholic,Female,Primary schools,"Building operations, general maintenance and other staff",7.3
Tasmania,Catholic,Female,Primary schools,Non-teaching staff,134
Tasmania,Catholic,Female,Primary schools,Specialist support staff,5.2
Tasmania,Catholic,Female,Primary schools,Teaching staff,301.8
Tasmania,Catholic,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),108.4
Tasmania,Catholic,Female,Secondary schools,"Building operations, general maintenance and other staff",17.3
Tasmania,Catholic,Female,Secondary schools,Non-teaching staff,136.4
Tasmania,Catholic,Female,Secondary schools,Specialist support staff,10.7
Tasmania,Catholic,Female,Secondary schools,Teaching staff,287.9
Tasmania,Catholic,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),6.7
Tasmania,Catholic,Male,Primary schools,"Building operations, general maintenance and other staff",22.1
Tasmania,Catholic,Male,Primary schools,Non-teaching staff,29.4
Tasmania,Catholic,Male,Primary schools,Specialist support staff,0.6
Tasmania,Catholic,Male,Primary schools,Teaching staff,95.2
Tasmania,Catholic,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),48.5
Tasmania,Catholic,Male,Secondary schools,"Building operations, general maintenance and other staff",32.6
Tasmania,Catholic,Male,Secondary schools,Non-teaching staff,85.6
Tasmania,Catholic,Male,Secondary schools,Specialist support staff,4.5
Tasmania,Catholic,Male,Secondary schools,Teaching staff,218.9
Tasmania,Government,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),794.6
Tasmania,Government,Female,Primary schools,"Building operations, general maintenance and other staff",2.3
Tasmania,Government,Female,Primary schools,Non-teaching staff,875.2
Tasmania,Government,Female,Primary schools,Specialist support staff,78.3
Tasmania,Government,Female,Primary schools,Teaching staff,1802.7
Tasmania,Government,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),511.1
Tasmania,Government,Female,Secondary schools,"Building operations, general maintenance and other staff",4.7
Tasmania,Government,Female,Secondary schools,Non-teaching staff,603.1
Tasmania,Government,Female,Secondary schools,Specialist support staff,87.3
Tasmania,Government,Female,Secondary schools,Teaching staff,1143
Tasmania,Government,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),76.9
Tasmania,Government,Male,Primary schools,"Building operations, general maintenance and other staff",101.2
Tasmania,Government,Male,Primary schools,Non-teaching staff,192.1
Tasmania,Government,Male,Primary schools,Specialist support staff,14
Tasmania,Government,Male,Primary schools,Teaching staff,416.8
Tasmania,Government,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),149.6
Tasmania,Government,Male,Secondary schools,"Building operations, general maintenance and other staff",70.1
Tasmania,Government,Male,Secondary schools,Non-teaching staff,247.4
Tasmania,Government,Male,Secondary schools,Specialist support staff,27.7
Tasmania,Government,Male,Secondary schools,Teaching staff,846.9
Tasmania,Independent,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),98.8
Tasmania,Independent,Female,Primary schools,"Building operations, general maintenance and other staff",6.6
Tasmania,Independent,Female,Primary schools,Non-teaching staff,113.8
Tasmania,Independent,Female,Primary schools,Specialist support staff,8.4
Tasmania,Independent,Female,Primary schools,Teaching staff,230.5
Tasmania,Independent,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),128.8
Tasmania,Independent,Female,Secondary schools,"Building operations, general maintenance and other staff",10.5
Tasmania,Independent,Female,Secondary schools,Non-teaching staff,151.2
Tasmania,Independent,Female,Secondary schools,Specialist support staff,11.9
Tasmania,Independent,Female,Secondary schools,Teaching staff,261.7
Tasmania,Independent,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),18.4
Tasmania,Independent,Male,Primary schools,"Building operations, general maintenance and other staff",21.4
Tasmania,Independent,Male,Primary schools,Non-teaching staff,40.5
Tasmania,Independent,Male,Primary schools,Specialist support staff,0.7
Tasmania,Independent,Male,Primary schools,Teaching staff,73.6
Tasmania,Independent,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),51.5
Tasmania,Independent,Male,Secondary schools,"Building operations, general maintenance and other staff",37.4
Tasmania,Independent,Male,Secondary schools,Non-teaching staff,94.4
Tasmania,Independent,Male,Secondary schools,Specialist support staff,5.5
Tasmania,Independent,Male,Secondary schools,Teaching staff,257.6
Victoria,Catholic,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),1320.7
Victoria,Catholic,Female,Primary schools,"Building operations, general maintenance and other staff",35.1
Victoria,Catholic,Female,Primary schools,Non-teaching staff,1381
Victoria,Catholic,Female,Primary schools,Specialist support staff,25.2
Victoria,Catholic,Female,Primary schools,Teaching staff,5074.9
Victoria,Catholic,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),1561.8
Victoria,Catholic,Female,Secondary schools,"Building operations, general maintenance and other staff",137.7
Victoria,Catholic,Female,Secondary schools,Non-teaching staff,1846.9
Victoria,Catholic,Female,Secondary schools,Specialist support staff,147.4
Victoria,Catholic,Female,Secondary schools,Teaching staff,4057.6
Victoria,Catholic,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),38.4
Victoria,Catholic,Male,Primary schools,"Building operations, general maintenance and other staff",61.9
Victoria,Catholic,Male,Primary schools,Non-teaching staff,104.6
Victoria,Catholic,Male,Primary schools,Specialist support staff,4.3
Victoria,Catholic,Male,Primary schools,Teaching staff,1021.2
Victoria,Catholic,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),503.2
Victoria,Catholic,Male,Secondary schools,"Building operations, general maintenance and other staff",298.6
