State/Territory,Sector,Sex,School Level,Function,Staff
Australian Capital Territory,Government,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),16
Australian Capital Territory,Government,Male,Primary schools,"Building operations, general maintenance and other staff",60
Australian Capital Territory,Government,Male,Primary schools,Non-teaching staff,87.1
Australian Capital Territory,Government,Male,Primary schools,Specialist support staff,11.1
Australian Capital Territory,Government,Male,Primary schools,Teaching staff,210.4
Australian Capital Territory,Government,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),63.7
Australian Capital Territory,Government,Male,Secondary schools,"Building operations, general maintenance and other staff",34.2
Australian Capital Territory,Government,Male,Secondary schools,Non-teaching staff,105.4
Australian Capital Territory,Government,Male,Secondary schools,Specialist support staff,7.5
Australian Capital Territory,Government,Male,Secondary schools,Teaching staff,503.4
Australian Capital Territory,Independent,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),64
Australian Capital Territory,Independent,Female,Primary schools,"Building operations, general maintenance and other staff",1.4
Australian Capital Territory,Independent,Female,Primary schools,Non-teaching staff,70.6
Australian Capital Territory,Independent,Female,Primary schools,Specialist support staff,5.2
Australian Capital Territory,Independent,Female,Primary schools,Teaching staff,217.2
Australian Capital Territory,Independent,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),100.1
Australian Capital Territory,Independent,Female,Secondary schools,"Building operations, general maintenance and other staff",6
Australian Capital Territory,Independent,Female,Secondary schools,Non-teaching staff,112.3
Australian Capital Territory,Independent,Female,Secondary schools,Specialist support staff,6.2
Australian Capital Territory,Independent,Female,Secondary schools,Teaching staff,240.6
Australian Capital Territory,Independent,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),11.5
Australian Capital Territory,Independent,Male,Primary schools,"Building operations, general maintenance and other staff",11.8
Australian Capital Territory,Independent,Male,Primary schools,Non-teaching staff,25.6
Australian Capital Territory,Independent,Male,Primary schools,Specialist support staff,2.3
Australian Capital Territory,Independent,Male,Primary schools,Teaching staff,56
Australian Capital Territory,Independent,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),26.9
Australian Capital Territory,Independent,Male,Secondary schools,"Building operations, general maintenance and other staff",28
Australian Capital Territory,Independent,Male,Secondary schools,Non-teaching staff,65.4
Australian Capital Territory,Independent,Male,Secondary schools,Specialist support staff,10.5
Australian Capital Territory,Independent,Male,Secondary schools,Teaching staff,195.6
New South Wales,Catholic,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),1485.3
New South Wales,Catholic,Female,Primary schools,"Building operations, general maintenance and other staff",92.1
New South Wales,Catholic,Female,Primary schools,Non-teaching staff,1668.3
New South Wales,Catholic,Female,Primary schools,Specialist support staff,90.9
New South Wales,Catholic,Female,Primary schools,Teaching staff,5815.3
New South Wales,Catholic,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),1837.6
New South Wales,Catholic,Female,Secondary schools,"Building operations, general maintenance and other staff",151.7
New South Wales,Catholic,Female,Secondary schools,Non-teaching staff,2134.8
New South Wales,Catholic,Female,Secondary schools,Specialist support staff,145.5
New South Wales,Catholic,Female,Secondary schools,Teaching staff,5343.5
New South Wales,Catholic,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),86.5
New South Wales,Catholic,Male,Primary schools,"Building operations, general maintenance and other staff",88.6
New South Wales,Catholic,Male,Primary schools,Non-teaching staff,199.1
New South Wales,Catholic,Male,Primary schools,Specialist support staff,24
New South Wales,Catholic,Male,Primary schools,Teaching staff,1061.9
New South Wales,Catholic,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),358.7
New South Wales,Catholic,Male,Secondary schools,"Building operations, general maintenance and other staff",313.9
New South Wales,Catholic,Male,Secondary schools,Non-teaching staff,744.7
New South Wales,Catholic,Male,Secondary schools,Specialist support staff,72.1
New South Wales,Catholic,Male,Secondary schools,Teaching staff,3777.4
New South Wales,Government,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),7684.6
New South Wales,Government,Female,Primary schools,"Building operations, general maintenance and other staff",29.9
New South Wales,Government,Female,Primary schools,Non-teaching staff,8263.2
New South Wales,Government,Female,Primary schools,Specialist support staff,548.7
New South Wales,Government,Female,Primary schools,Teaching staff,23186.1
New South Wales,Government,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),5379.2
New South Wales,Government,Female,Secondary schools,"Building operations, general maintenance and other staff",18.3
New South Wales,Government,Female,Secondary schools,Non-teaching staff,5925
New South Wales,Government,Female,Secondary schools,Specialist support staff,527.5
New South Wales,Government,Female,Secondary schools,Teaching staff,14369.8
New South Wales,Government,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),410.1
New South Wales,Government,Male,Primary schools,"Building operations, general maintenance and other staff",847.4
New South Wales,Government,Male,Primary schools,Non-teaching staff,1393
New South Wales,Government,Male,Primary schools,Specialist support staff,135.5
New South Wales,Government,Male,Primary schools,Teaching staff,4839.2
New South Wales,Government,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),372.8
New South Wales,Government,Male,Secondary schools,"Building operations, general maintenance and other staff",541
New South Wales,Government,Male,Secondary schools,Non-teaching staff,1117.6
New South Wales,Government,Male,Secondary schools,Specialist support staff,203.8
New South Wales,Government,Male,Secondary schools,Teaching staff,10406.9
New South Wales,Independent,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),1301.7
New South Wales,Independent,Female,Primary schools,"Building operations, general maintenance and other staff",83.3
New South Wales,Independent,Female,Primary schools,Non-teaching staff,1565.7
New South Wales,Independent,Female,Primary schools,Specialist support staff,180.7
New South Wales,Independent,Female,Primary schools,Teaching staff,3604.3
New South Wales,Independent,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),1528.2
New South Wales,Independent,Female,Secondary schools,"Building operations, general maintenance and other staff",146.1
New South Wales,Independent,Female,Secondary schools,Non-teaching staff,1882.7
New South Wales,Independent,Female,Secondary schools,Specialist support staff,208.4
New South Wales,Independent,Female,Secondary schools,Teaching staff,4016.7
New South Wales,Independent,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),259.8
New South Wales,Independent,Male,Primary schools,"Building operations, general maintenance and other staff",233.7
New South Wales,Independent,Male,Primary schools,Non-teaching staff,541.2
New South Wales,Independent,Male,Primary schools,Specialist support staff,47.7
New South Wales,Independent,Male,Primary schools,Teaching staff,1053.4
New South Wales,Independent,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),468.3
New South Wales,Independent,Male,Secondary schools,"Building operations, general maintenance and other staff",406.6
New South Wales,Independent,Male,Secondary schools,Non-teaching staff,1063.7
New South Wales,Independent,Male,Secondary schools,Specialist support staff,188.8
New South Wales,Independent,Male,Secondary schools,Teaching staff,3186.8
Northern Territory,Catholic,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),99.2
Northern Territory,Catholic,Female,Primary schools,"Building operations, general maintenance and other staff",8.7
Northern Territory,Catholic,Female,Primary schools,Non-teaching staff,119.2
Northern Territory,Catholic,Female,Primary schools,Specialist support staff,11.3
Northern Territory,Catholic,Female,Primary schools,Teaching staff,154.9
Northern Territory,Catholic,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),45.6
Northern Territory,Catholic,Female,Secondary schools,"Building operations, general maintenance and other staff",4.2
Northern Territory,Catholic,Female,Secondary schools,Non-teaching staff,60.3
Northern Territory,Catholic,Female,Secondary schools,Specialist support staff,10.5
Northern Territory,Catholic,Female,Secondary schools,Teaching staff,104.3
Northern Territory,Catholic,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),12.1
Northern Territory,Catholic,Male,Primary schools,"Building operations, general maintenance and other staff",22.7
Northern Territory,Catholic,Male,Primary schools,Non-teaching staff,35.8
Northern Territory,Catholic,Male,Primary schools,Specialist support staff,1
Northern Territory,Catholic,Male,Primary schools,Teaching staff,26.8
Northern Territory,Catholic,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),12.7
Northern Territory,Catholic,Male,Secondary schools,"Building operations, general maintenance and other staff",15
Northern Territory,Catholic,Male,Secondary schools,Non-teaching staff,29.7
Northern Territory,Catholic,Male,Secondary schools,Specialist support staff,2
Northern Territory,Catholic,Male,Secondary schools,Teaching staff,71
Northern Territory,Government,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),379.9
Northern Territory,Government,Female,Primary schools,"Building operations, general maintenance and other staff",9.5
Northern Territory,Government,Female,Primary schools,Non-teaching staff,653.5
Northern Territory,Government,Female,Primary schools,Specialist support staff,264.1
Northern Territory,Government,Female,Primary schools,Teaching staff,1297
Northern Territory,Government,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),202.3
Northern Territory,Government,Female,Secondary schools,"Building operations, general maintenance and other staff",7.3
Northern Territory,Government,Female,Secondary schools,Non-teaching staff,375.1
Northern Territory,Government,Female,Secondary schools,Specialist support staff,165.5
Northern Territory,Government,Female,Secondary schools,Teaching staff,628
Northern Territory,Government,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),30.1
Northern Territory,Government,Male,Primary schools,"Building operations, general maintenance and other staff",77.8
Northern Territory,Government,Male,Primary schools,Non-teaching staff,154.1
Northern Territory,Government,Male,Primary schools,Specialist support staff,46.2
Northern Territory,Government,Male,Primary schools,Teaching staff,277.3
Northern Territory,Government,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),49.1
Northern Territory,Government,Male,Secondary schools,"Building operations, general maintenance and other staff",43.1
Northern Territory,Government,Male,Secondary schools,Non-teaching staff,155.9
Northern Territory,Government,Male,Secondary schools,Specialist support staff,63.7
Northern Territory,Government,Male,Secondary schools,Teaching staff,377.2
Northern Territory,Independent,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),62.8
Northern Territory,Independent,Female,Primary schools,"Building operations, general maintenance and other staff",1
Northern Territory,Independent,Female,Primary schools,Non-teaching staff,70.3
Northern Territory,Independent,Female,Primary schools,Specialist support staff,6.5
Northern Territory,Independent,Female,Primary schools,Teaching staff,126.4
Northern Territory,Independent,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),110.6
Northern Territory,Independent,Female,Secondary schools,"Building operations, general maintenance and other staff",13
Northern Territory,Independent,Female,Secondary schools,Non-teaching staff,130.1
Northern Territory,Independent,Female,Secondary schools,Specialist support staff,6.5
Northern Territory,Independent,Female,Secondary schools,Teaching staff,192.4
Northern Territory,Independent,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),6.2
Northern Territory,Independent,Male,Primary schools,"Building operations, general maintenance and other staff",9.9
Northern Territory,Independent,Male,Primary schools,Non-teaching staff,18
Northern Territory,Independent,Male,Primary schools,Specialist support staff,1.9
Northern Territory,Independent,Male,Primary schools,Teaching staff,23.9
Northern Territory,Independent,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),30.6
Northern Territory,Independent,Male,Secondary schools,"Building operations, general maintenance and other staff",31.3
Northern Territory,Independent,Male,Secondary schools,Non-teaching staff,72.7
Northern Territory,Independent,Male,Secondary schools,Specialist support staff,10.8
Northern Territory,Independent,Male,Secondary schools,Teaching staff,121.2
Queensland,Catholic,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),1515.4
Queensland,Catholic,Female,Primary schools,"Building operations, general maintenance and other staff",52.5
Queensland,Catholic,Female,Primary schools,Non-teaching staff,1604.8
Queensland,Catholic,Female,Primary schools,Specialist support staff,36.9
Queensland,Catholic,Female,Primary schools,Teaching staff,3569.3
Queensland,Catholic,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),1179.3
Queensland,Catholic,Female,Secondary schools,"Building operations, general maintenance and other staff",155.5
Queensland,Catholic,Female,Secondary schools,Non-teaching staff,1470.7
Queensland,Catholic,Female,Secondary schools,Specialist support staff,135.9
Queensland,Catholic,Female,Secondary schools,Teaching staff,2479.1
Queensland,Catholic,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),58.9
Queensland,Catholic,Male,Primary schools,"Building operations, general maintenance and other staff",138.2
Queensland,Catholic,Male,Primary schools,Non-teaching staff,215.2
Queensland,Catholic,Male,Primary schools,Specialist support staff,18.1
Queensland,Catholic,Male,Primary schools,Teaching staff,818
Queensland,Catholic,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),323.8
Queensland,Catholic,Male,Secondary schools,"Building operations, general maintenance and other staff",266.4
Queensland,Catholic,Male,Secondary schools,Non-teaching staff,682.5
Queensland,Catholic,Male,Secondary schools,Specialist support staff,92.3
Queensland,Catholic,Male,Secondary schools,Teaching staff,1840.7
Queensland,Government,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),6623
Queensland,Government,Female,Primary schools,"Building operations, general maintenance and other staff",56.4
Queensland,Government,Female,Primary schools,Non-teaching staff,7622
Queensland,Government,Female,Primary schools,Specialist support staff,942.6
Queensland,Government,Female,Primary schools,Teaching staff,16703.7
Queensland,Government,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),3083.7
Queensland,Government,Female,Secondary schools,"Building operations, general maintenance and other staff",43.8
Queensland,Government,Female,Secondary schools,Non-teaching staff,3705
Queensland,Government,Female,Secondary schools,Specialist support staff,577.5
Queensland,Government,Female,Secondary schools,Teaching staff,8545.9
Queensland,Government,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),277.5
Queensland,Government,Male,Primary schools,"Building operations, general maintenance and other staff",795.6
Queensland,Government,Male,Primary schools,Non-teaching staff,1279.6
Queensland,Government,Male,Primary schools,Specialist support staff,206.5
Queensland,Government,Male,Primary schools,Teaching staff,3918.3
Queensland,Government,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),353.9
Queensland,Government,Male,Secondary schools,"Building operations, general maintenance and other staff",571.3
Queensland,Government,Male,Secondary schools,Non-teaching staff,1110.2
Queensland,Government,Male,Secondary schools,Specialist support staff,185
Queensland,Government,Male,Secondary schools,Teaching staff,5463.6
Queensland,Independent,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),1474.6
Queensland,Independent,Female,Primary schools,"Building operations, general maintenance and other staff",76.8
Queensland,Independent,Female,Primary schools,Non-teaching staff,1674.3
Queensland,Independent,Female,Primary schools,Specialist support staff,122.9
Queensland,Independent,Female,Primary schools,Teaching staff,2513.2
Queensland,Independent,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),1385.9
Queensland,Independent,Female,Secondary schools,"Building operations, general maintenance and other staff",114.3
Queensland,Independent,Female,Secondary schools,Non-teaching staff,1652.5
Queensland,Independent,Female,Secondary schools,Specialist support staff,152.3
Queensland,Independent,Female,Secondary schools,Teaching staff,2473.2
Queensland,Independent,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),236.7
Queensland,Independent,Male,Primary schools,"Building operations, general maintenance and other staff",301.5
Queensland,Independent,Male,Primary schools,Non-teaching staff,587.7
Queensland,Independent,Male,Primary schools,Specialist support staff,49.5
Queensland,Independent,Male,Primary schools,Teaching staff,809.3
Queensland,Independent,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),406.2
Queensland,Independent,Male,Secondary schools,"Building operations, general maintenance and other staff",379.8
Queensland,Independent,Male,Secondary schools,Non-teaching staff,920
Queensland,Independent,Male,Secondary schools,Specialist support staff,134
Queensland,Independent,Male,Secondary schools,Teaching staff,2124
South Australia,Catholic,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),377.7
South Australia,Catholic,Female,Primary schools,"Building operations, general maintenance and other staff",32.1
South Australia,Catholic,Female,Primary schools,Non-teaching staff,520.3
South Australia,Catholic,Female,Primary schools,Specialist support staff,110.5
South Australia,Catholic,Female,Primary schools,Teaching staff,1331.9
South Australia,Catholic,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),352.2
South Australia,Catholic,Female,Secondary schools,"Building operations, general maintenance and other staff",23.1
South Australia,Catholic,Female,Secondary schools,Non-teaching staff,447.1
South Australia,Catholic,Female,Secondary schools,Specialist support staff,71.8
South Australia,Catholic,Female,Secondary schools,Teaching staff,900
South Australia,Catholic,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),48.9
South Australia,Catholic,Male,Primary schools,"Building operations, general maintenance and other staff",52.4
South Australia,Catholic,Male,Primary schools,Non-teaching staff,112.1
South Australia,Catholic,Male,Primary schools,Specialist support staff,10.8
South Australia,Catholic,Male,Primary schools,Teaching staff,377.9
South Australia,Catholic,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),90.7
South Australia,Catholic,Male,Secondary schools,"Building operations, general maintenance and other staff",95.4
South Australia,Catholic,Male,Secondary schools,Non-teaching staff,216.5
South Australia,Catholic,Male,Secondary schools,Specialist support staff,30.4
South Australia,Catholic,Male,Secondary schools,Teaching staff,728.8
South Australia,Government,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),2334.7
South Australia,Government,Female,Primary schools,"Building operations, general maintenance and other staff",6.8
South Australia,Government,Female,Primary schools,Non-teaching staff,2594.1
South Australia,Government,Female,Primary schools,Specialist support staff,252.6
South Australia,Government,Female,Primary schools,Teaching staff,5427.9
South Australia,Government,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),1088.8
South Australia,Government,Female,Secondary schools,"Building operations, general maintenance and other staff",6.5
South Australia,Government,Female,Secondary schools,Non-teaching staff,1290
South Australia,Government,Female,Secondary schools,Specialist support staff,194.7
South Australia,Government,Female,Secondary schools,Teaching staff,2553.2
South Australia,Government,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),227
South Australia,Government,Male,Primary schools,"Building operations, general maintenance and other staff",151.7
South Australia,Government,Male,Primary schools,Non-teaching staff,421.3
South Australia,Government,Male,Primary schools,Specialist support staff,42.6
South Australia,Government,Male,Primary schools,Teaching staff,1525.2
South Australia,Government,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),289.2
South Australia,Government,Male,Secondary schools,"Building operations, general maintenance and other staff",129.9
South Australia,Government,Male,Secondary schools,Non-teaching staff,533.5
South Australia,Government,Male,Secondary schools,Specialist support staff,114.4
South Australia,Government,Male,Secondary schools,Teaching staff,2075.5
South Australia,Independent,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),438.6
South Australia,Independent,Female,Primary schools,"Building operations, general maintenance and other staff",30.8
South Australia,Independent,Female,Primary schools,Non-teaching staff,499.7
South Australia,Independent,Female,Primary schools,Specialist support staff,30.3
South Australia,Independent,Female,Primary schools,Teaching staff,1178.6
South Australia,Independent,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),438.8
South Australia,Independent,Female,Secondary schools,"Building operations, general maintenance and other staff",49.5
South Australia,Independent,Female,Secondary schools,Non-teaching staff,531.1
South Australia,Independent,Female,Secondary schools,Specialist support staff,42.8
South Australia,Independent,Female,Secondary schools,Teaching staff,948
South Australia,Independent,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),82.1
South Australia,Independent,Male,Primary schools,"Building operations, general maintenance and other staff",92.3
South Australia,Independent,Male,Primary schools,Non-teaching staff,182.5
South Australia,Independent,Male,Primary schools,Specialist support staff,8.1
South Australia,Independent,Male,Primary schools,Teaching staff,426.6
South Australia,Independent,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),142.2
South Australia,Independent,Male,Secondary schools,"Building operations, general maintenance and other staff",137.1
South Australia,Independent,Male,Secondary schools,Non-teaching staff,293.3
South Australia,Independent,Male,Secondary schools,Specialist support staff,14
South Australia,Independent,Male,Secondary schools,Teaching staff,834.9
Tasmania,Catholic,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),136.3
Tasmania,Catholic,Female,Primary schools,"Building operations, general maintenance and other staff",5.1
Tasmania,Catholic,Female,Primary schools,Non-teaching staff,158.7
Tasmania,Catholic,Female,Primary schools,Specialist support staff,17.3
Tasmania,Catholic,Female,Primary schools,Teaching staff,321.7
Tasmania,Catholic,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),126
Tasmania,Catholic,Female,Secondary schools,"Building operations, general maintenance and other staff",15.9
Tasmania,Catholic,Female,Secondary schools,Non-teaching staff,151.4
Tasmania,Catholic,Female,Secondary schools,Specialist support staff,9.5
Tasmania,Catholic,Female,Secondary schools,Teaching staff,301.6
Tasmania,Catholic,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),11.6
Tasmania,Catholic,Male,Primary schools,"Building operations, general maintenance and other staff",22.6
Tasmania,Catholic,Male,Primary schools,Non-teaching staff,34.5
Tasmania,Catholic,Male,Primary schools,Specialist support staff,0.3
Tasmania,Catholic,Male,Primary schools,Teaching staff,89.9
Tasmania,Catholic,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),63
Tasmania,Catholic,Male,Secondary schools,"Building operations, general maintenance and other staff",34.9
Tasmania,Catholic,Male,Secondary schools,Non-teaching staff,99.1
Tasmania,Catholic,Male,Secondary schools,Specialist support staff,1.2
Tasmania,Catholic,Male,Secondary schools,Teaching staff,243
Tasmania,Government,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),801.5
Tasmania,Government,Female,Primary schools,"Building operations, general maintenance and other staff",2.1
Tasmania,Government,Female,Primary schools,Non-teaching staff,889.9
Tasmania,Government,Female,Primary schools,Specialist support staff,86.3
Tasmania,Government,Female,Primary schools,Teaching staff,1817.1
Tasmania,Government,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),516.7
Tasmania,Government,Female,Secondary schools,"Building operations, general maintenance and other staff",3.2
Tasmania,Government,Female,Secondary schools,Non-teaching staff,603.3
Tasmania,Government,Female,Secondary schools,Specialist support staff,83.4
Tasmania,Government,Female,Secondary schools,Teaching staff,1194
Tasmania,Government,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),74.9
Tasmania,Government,Male,Primary schools,"Building operations, general maintenance and other staff",86.2
Tasmania,Government,Male,Primary schools,Non-teaching staff,174.6
Tasmania,Government,Male,Primary schools,Specialist support staff,13.5
Tasmania,Government,Male,Primary schools,Teaching staff,440.2
Tasmania,Government,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),146
Tasmania,Government,Male,Secondary schools,"Building operations, general maintenance and other staff",57.4
Tasmania,Government,Male,Secondary schools,Non-teaching staff,232.4
Tasmania,Government,Male,Secondary schools,Specialist support staff,29
Tasmania,Government,Male,Secondary schools,Teaching staff,813.3
Tasmania,Independent,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),116.6
Tasmania,Independent,Female,Primary schools,"Building operations, general maintenance and other staff",10.6
Tasmania,Independent,Female,Primary schools,Non-teaching staff,137.3
Tasmania,Independent,Female,Primary schools,Specialist support staff,10.1
Tasmania,Independent,Female,Primary schools,Teaching staff,232.3
Tasmania,Independent,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),124.9
Tasmania,Independent,Female,Secondary schools,"Building operations, general maintenance and other staff",9.6
Tasmania,Independent,Female,Secondary schools,Non-teaching staff,158.2
Tasmania,Independent,Female,Secondary schools,Specialist support staff,23.7
Tasmania,Independent,Female,Secondary schools,Teaching staff,267.8
Tasmania,Independent,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),19
Tasmania,Independent,Male,Primary schools,"Building operations, general maintenance and other staff",21.7
Tasmania,Independent,Male,Primary schools,Non-teaching staff,45.1
Tasmania,Independent,Male,Primary schools,Specialist support staff,4.4
Tasmania,Independent,Male,Primary schools,Teaching staff,72.4
Tasmania,Independent,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),54.3
Tasmania,Independent,Male,Secondary schools,"Building operations, general maintenance and other staff",37.1
Tasmania,Independent,Male,Secondary schools,Non-teaching staff,105.4
Tasmania,Independent,Male,Secondary schools,Specialist support staff,14
Tasmania,Independent,Male,Secondary schools,Teaching staff,248.6
Victoria,Catholic,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),1450.1
Victoria,Catholic,Female,Primary schools,"Building operations, general maintenance and other staff",38.4
Victoria,Catholic,Female,Primary schools,Non-teaching staff,1509.5
Victoria,Catholic,Female,Primary schools,Specialist support staff,21
Victoria,Catholic,Female,Primary schools,Teaching staff,5310.8
Victoria,Catholic,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),1657.2
Victoria,Catholic,Female,Secondary schools,"Building operations, general maintenance and other staff",146.8
Victoria,Catholic,Female,Secondary schools,Non-teaching staff,1958.5
Victoria,Catholic,Female,Secondary schools,Specialist support staff,154.5
Victoria,Catholic,Female,Secondary schools,Teaching staff,4217.2
Victoria,Catholic,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),52.3
Victoria,Catholic,Male,Primary schools,"Building operations, general maintenance and other staff",66.8
Victoria,Catholic,Male,Primary schools,Non-teaching staff,121.4
Victoria,Catholic,Male,Primary schools,Specialist support staff,2.3
Victoria,Catholic,Male,Primary schools,Teaching staff,1061.5
Victoria,Catholic,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),575.4
Victoria,Catholic,Male,Secondary schools,"Building operations, general maintenance and other staff",336.7
